Formula,M,X,T,Work_function,Heat_of_formation,Energy_above_convex_hull,Length(x),Radius_of_orbital_of_metal,Radius_of_orbital_of_support,Radius_of_orbital_of_termination,Ionisation_potential_of_metal,Ionisation_potential_of_support,Ionisation_potential_of_termination,Electronegativity_of_metal,Electronegativity_of_support,Electronegativity_of_termination,Electron_affinity_of_metal,Electron_affinity_of_support,Electron_affinity_of_termination
Hf3C2H2O2,Hf,C,OH,2.271377974,-1.345951694,0.242879982,330.4,82.9,59.6,41.4,6.825,11.2603,13.017,1.3,2.55,2.82,0.178,1.262,1.827
Sc3C2H2O2,Sc,C,OH,1.588008659,-1.199954296,0.452743884,335,53.9,59.6,41.4,6.5614,11.2603,13.017,1.36,2.55,2.82,0.189,1.262,1.827
W3C2H2O2,W,C,OH,2.209839639,-0.317344146,0.473692689,290.6,74.6,59.6,41.4,7.98,11.2603,13.017,2.36,2.55,2.82,0.816,1.262,1.827
Mo3H2N2O2,Mo,N,OH,2.463148154,-0.594738539,0.327053005,285,70.2,48.8,41.4,7.0942,14.5341,13.017,2.16,3.04,2.82,0.749,-0.07,1.827
Ti3H2N2O2,Ti,N,OH,2.329749567,-1.597694312,0.163032588,298.9,48.9,48.8,41.4,6.8282,14.5341,13.017,1.54,3.04,2.82,0.087,-0.07,1.827
Zr3H2N2O2,Zr,N,OH,2.429485571,-1.645322115,0.315790352,320.4,79,48.8,41.4,6.6339,14.5341,13.017,1.33,3.04,2.82,0.427,-0.07,1.827
Mn3C2F2,Mn,C,F,6.244289053,-0.755419649,0.290092153,293.1,38.9,59.6,36,7.434,11.2603,17.4228,1.55,2.55,3.98,-0.5,1.262,3.401
Ta3C2F2,Ta,C,F,4.424606403,-1.265524269,0.269073077,316.7,78.4,59.6,36,7.89,11.2603,17.4228,1.5,2.55,3.98,0.323,1.262,3.401
Y3C2F2,Y,C,F,4.46843778,-1.715968012,0.168984853,348.9,86.5,59.6,36,6.217,11.2603,17.4228,1.22,2.55,3.98,0.308,1.262,3.401
Mn3C2O2,Mn,C,O,6.714303958,-0.407668344,0.386595308,288.2,38.9,59.6,41.4,7.434,11.2603,13.618,1.55,2.55,3.44,-0.5,1.262,1.439
Ta3C2O2,Ta,C,O,5.011133502,-1.397317972,0.1173341,313.1,78.4,59.6,41.4,7.89,11.2603,13.618,1.5,2.55,3.44,0.323,1.262,1.439
Y3C2O2,Y,C,O,2.724903409,-1.569476414,0.364325407,378.3,86.5,59.6,41.4,6.217,11.2603,13.618,1.22,2.55,3.44,0.308,1.262,1.439
Mo3F2N2,Mo,N,F,5.539162781,-0.901248583,0.27769285,283.1,70.2,48.8,36,7.0942,14.5341,17.4228,2.16,3.04,3.98,0.749,-0.07,3.401
